Team,Position,Name
DWG_KIA,TOP,Nuguri
DWG_KIA,JUNGLE,Canyon
DWG_KIA,MID,ShowMaker
DWG_KIA,AD,deokdam
DWG_KIA,SUPPORT,Kellin
T1,TOP,Zeus
T1,JUNGLE,Oner
T1,MID,Faker
T1,AD,Gumayusi
T1,SUPPORT,Keria
Gen.G,TOP,Doran
Gen.G,JUNGLE,Peanut
Gen.G,MID,Chovy
Gen.G,AD,Ruler
Gen.G,SUPPORT,Lehends
NongShim,TOP,Canna
NongShim,JUNGLE,Dread
NongShim,MID,Bdd
NongShim,AD,Ghost
NongShim,SUPPORT,Effort
Sandbox,TOP,Dove
Sandbox,JUNGLE,Croco
Sandbox,MID,Clozer
Sandbox,AD,Prince
Sandbox,SUPPORT,Kael
Kwangdong,TOP,Kiin
Kwangdong,JUNGLE,Ellim
Kwangdong,MID,FATE
Kwangdong,AD,Teddy
Kwangdong,SUPPORT,Moham
KT,TOP,Rascal
KT,JUNGLE,Cuzz
KT,MID,Aria
KT,AD,Aiming
KT,SUPPORT,Life
Hanwha,TOP,Dudu
Hanwha,JUNGLE,OnFleek
Hanwha,MID,Karis
Hanwha,AD,SamD
Hanwha,SUPPORT,Vsta
Brion,TOP,Morgan
Brion,JUNGLE,UmTi
Brion,MID,Lava
Brion,AD,Hena
Brion,SUPPORT,Delight
DRX,TOP,Kingen
DRX,JUNGLE,Pyosik
DRX,MID,Zeka
DRX,AD,Deft
DRX,SUPPORT,BeryL
